posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,6,6,1,21.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,3,10,0,59.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,7,6,0,24.0,0
30,CLEAR,DAYLIGHT,"CURVE, LEVEL",DRY,2,9,6,2,1,46.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,1,8,1,76.0,0
35,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,0,7,11,1,36.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD","CURVE, LEVEL",DRY,2,19,7,11,1,47.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,5,10,1,49.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,5,6,11,1,44.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,3,11,4,10,0,28.0,0
25,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD","CURVE, LEVEL",WET,1,23,7,4,1,64.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,5,7,0,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,7,8,1,24.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,3,22,4,12,1,27.0,0
10,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,1,23,1,6,1,36.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,8,5,2,0,32.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,19,5,6,0,45.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,13,4,9,0,33.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,3,7,0,76.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,4,7,6,0,24.0,0
30,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,18,1,6,0,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,6,8,1,37.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,4,12,1,31.0,0
30,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,6,5,0,27.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,4,1,69.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,21,6,4,1,42.0,0
15,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,16,2,10,1,36.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,5,4,1,1,28.0,0
5,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,2,8,0,49.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,2,5,1,49.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,6,2,9,1,43.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,0,7,11,0,72.0,0
10,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,1,12,1,12,1,33.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,6,12,0,22.0,0
45,CLOUDY/OVERCAST,DUSK,STRAIGHT AND LEVEL,DRY,2,15,5,11,0,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,7,1,1,27.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,3,10,0,45.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,3,1,58.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,16,3,11,1,23.0,0
20,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,7,10,1,44.0,0
25,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,19,1,11,1,20.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,3,12,1,51.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,19,3,4,1,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,5,10,1,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,10,6,8,0,63.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,17,4,3,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,6,2,0,60.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,6,4,0,44.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,7,6,7,1,57.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,11,7,11,1,59.0,1
30,SLEET/HAIL,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,2,10,1,53.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,6,10,0,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,5,11,1,28.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,6,0,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,4,2,0,23.0,0
20,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,4,12,1,33.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,20,3,1,0,42.0,0
25,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,18,1,12,1,37.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,2,5,1,54.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,7,10,0,28.0,0
25,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,1,9,1,19.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,22,7,8,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,6,12,0,76.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,12,0,56.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,6,7,1,23.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,19,4,1,1,46.0,0
30,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,1,21,2,7,0,41.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,14,6,10,0,66.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,6,10,1,34.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,18,2,12,0,38.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,2,11,1,20.0,0
